iter	Passed	Remaining
0	52	7847
1	94	6963
2	136	6701
3	182	6644
4	218	6328
5	251	6045
6	291	5953
7	322	5724
8	356	5586
9	373	5235
10	404	5114
11	437	5026
12	467	4931
13	501	4868
14	524	4718
15	556	4658
16	590	4617
17	622	4564
18	656	4527
19	690	4485
20	720	4428
21	754	4391
22	785	4338
23	820	4307
24	852	4261
25	885	4220
26	922	4204
27	978	4262
28	1007	4205
29	1060	4241
30	1115	4281
31	1185	4371
32	1271	4506
33	1329	4536
34	1377	4525
35	1425	4515
36	1477	4511
37	1529	4507
38	1584	4510
39	1636	4500
40	1682	4473
41	1738	4470
42	1794	4464
43	1852	4463
44	1886	4401
45	1938	4382
46	1978	4335
47	2021	4296
48	2053	4232
49	2089	4178
50	2133	4141
51	2184	4116
52	2231	4083
53	2264	4025
54	2300	3973
55	2338	3925
56	2380	3883
57	2417	3834
58	2454	3785
59	2497	3745
60	2545	3713
61	2582	3665
62	2629	3630
63	2666	3583
64	2704	3536
65	2750	3500
66	2793	3460
67	2836	3420
68	2882	3383
69	2932	3351
70	2976	3311
71	3021	3273
72	3055	3223
73	3093	3177
74	3131	3131
75	3166	3083
76	3198	3032
77	3233	2984
78	3265	2934
79	3296	2884
80	3330	2837
81	3375	2798
82	3421	2761
83	3466	2723
84	3504	2679
85	3536	2631
86	3567	2583
87	3600	2536
88	3632	2489
89	3665	2443
90	3696	2396
91	3728	2350
92	3759	2304
93	3795	2260
94	3826	2215
95	3858	2170
96	3890	2125
97	3936	2088
98	3968	2044
99	3999	1999
100	4033	1956
101	4065	1913
102	4098	1870
103	4131	1827
104	4162	1783
105	4194	1741
106	4225	1698
107	4255	1655
108	4287	1612
109	4319	1570
110	4366	1534
111	4412	1497
112	4458	1459
113	4501	1421
114	4533	1379
115	4565	1338
116	4598	1297
117	4631	1255
118	4663	1214
119	4694	1173
120	4731	1133
121	4763	1093
122	4796	1052
123	4828	1012
124	4861	972
125	4893	932
126	4925	892
127	4977	855
128	5010	815
129	5044	776
130	5090	738
131	5134	700
132	5174	661
133	5224	623
134	5264	584
135	5302	545
136	5341	506
137	5390	468
138	5435	430
139	5481	391
140	5528	352
141	5574	314
142	5617	274
143	5649	235
144	5682	195
145	5716	156
146	5746	117
147	5780	78
148	5813	39
149	5850	0
